file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
/home/x1/Desktop/ass/ass16/ecommerce-website-main/src/java/ChangePassword.java,ChangePassword,class,6,6,0,6,3,2,0,20,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,38,0,0,0,1,0,22,3,10,0,9,2,0,0,0,42,1,0
/home/x1/Desktop/ass/ass16/ecommerce-website-main/src/java/AddNewProduct.java,AddNewProduct,class,7,7,0,7,6,2,0,23,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,51,0,2,1,1,1,7,18,18,0,14,4,0,0,0,43,1,0
/home/x1/Desktop/ass/ass16/ecommerce-website-main/src/java/NewUser1.java,NewUser1,class,5,5,0,5,3,2,0,15,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,50,0,0,0,1,0,26,6,13,0,13,2,0,0,0,55,1,0
/home/x1/Desktop/ass/ass16/ecommerce-website-main/src/java/ViewProducts.java,ViewProducts,class,5,5,0,5,4,2,0,10,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,35,0,1,0,1,0,15,7,15,8,7,3,0,0,0,44,1,0
/home/x1/Desktop/ass/ass16/ecommerce-website-main/src/java/GetProductImage.java,GetProductImage,class,5,5,0,5,2,2,0,12,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,21,0,0,0,1,0,4,1,7,0,6,1,0,0,0,31,1,0
/home/x1/Desktop/ass/ass16/ecommerce-website-main/src/java/GetProductType.java,GetProductType,class,4,4,0,4,3,2,0,7,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,17,0,1,0,1,0,3,1,6,1,5,2,0,0,0,28,1,0
/home/x1/Desktop/ass/ass16/ecommerce-website-main/src/java/ForgotPassword.java,ForgotPassword$Anonymous1,anonymous,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
/home/x1/Desktop/ass/ass16/ecommerce-website-main/src/java/p1/DB_Connection.java,p1.DB_Connection,class,0,26,26,0,2,1,0,3,0,1.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,2,2,2,0,0,0,0,0,2,15,1,0,0,1,0,6,0,4,0,3,1,0,0,0,21,1,0
/home/x1/Desktop/ass/ass16/ecommerce-website-main/src/java/PlaceOrder.java,PlaceOrder$Anonymous1,anonymous,1,1,0,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-1,0
/home/x1/Desktop/ass/ass16/ecommerce-website-main/src/java/ViewOrders.java,ViewOrders,class,5,5,0,5,6,2,0,15,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,54,0,2,1,1,0,35,10,25,14,10,4,0,0,0,57,1,0
